Wav_path,Txt_path,Prompts
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0130.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0130.txt,The dolphins swam around our boat
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0020.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0020.txt,The islands are sparsely populated
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0123.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0123.txt,spit
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0009.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0009.txt,cheer
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0045.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0045.txt,knot
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0140.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0140.txt,hitting
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0063.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0063.txt,Day after day some new episode is reported
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0129.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0129.txt,dark
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0087.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0087.txt,Both injuries were to the same leg
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0038.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0038.txt,much
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0088.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0088.txt,part
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0012.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0012.txt,rock
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0106.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0106.txt,sign
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0113.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0113.txt,five
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0124.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0124.txt,spit
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0150.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0150.txt,vat
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0061.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0061.txt,take
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0127.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0127.txt,side
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0031.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0031.txt,Two other cases also were under advisement
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0058.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0058.txt,"If you are losing water, replace it immediately"
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0039.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0039.txt,hate
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0136.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0136.txt,pit
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0048.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0048.txt,group
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0156.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0156.txt,zero
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0068.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0068.txt,shy
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0054.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0054.txt,Mother sews yellow
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0112.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0112.txt,league
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0055.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0055.txt,Mother sews yellow gingham aprons
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0085.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0085.txt,I expect we'll bounce back this week
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0001.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0001.txt,fear
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0007.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0007.txt,"If you destroy confidence in banks, you do something to the economy, he said"
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0146.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0146.txt,foxtrot
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0081.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0081.txt,him
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0107.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0107.txt,bit
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0145.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0145.txt,foxtrot
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0099.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0099.txt,A roll of wire lay near the wall
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0049.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0049.txt,slay
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0059.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0059.txt,yes
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0071.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0071.txt,blow
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0102.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0102.txt,mike
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0120.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0120.txt,fitting
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0057.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0057.txt,write
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0064.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0064.txt,leak
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0067.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0067.txt,spain
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0041.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0041.txt,slip
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0075.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0075.txt,quebec
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0070.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0070.txt,fat
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0092.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0092.txt,The box contained three sweaters
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0076.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0076.txt,park
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0151.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0151.txt,fill
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0050.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0050.txt,root
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0110.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0110.txt,brawn
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0022.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0022.txt,jungle
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0148.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0148.txt,knitting
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0094.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0094.txt,hum
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0046.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0046.txt,sparkle
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0021.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0021.txt,Bright sunshine shimmers on the ocean
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0016.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0016.txt,white
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0030.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0030.txt,pot
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0100.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0100.txt,no
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0026.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0026.txt,side
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0086.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0086.txt,him
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0004.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0004.txt,droop
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0082.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0082.txt,seeds
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0160.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0160.txt,This is not a program of socialized medicine
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0138.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0138.txt,hitting
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0118.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0118.txt,Nothing has been done yet to take advantage of the enabling legislation
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0132.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0132.txt,There is a treehouse up above
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0065.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0065.txt,fat
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0115.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0115.txt,liar
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0122.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0122.txt,I have had my bell rung
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0005.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0005.txt,loop
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0141.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0141.txt,"Before Thursday's exam, review every formula"
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0149.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0149.txt,Carl lives in a lively home
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0023.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0023.txt,single
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0072.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0072.txt,We rode horseback to the farm
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0015.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0015.txt,deer
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0035.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0035.txt,charlie
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0125.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0125.txt,reek
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0114.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0114.txt,eight
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0028.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0028.txt,Where were you while we were away?
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0093.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0093.txt,golf
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0137.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0137.txt,start
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0043.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0043.txt,I tried to tell people in the community
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0077.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0077.txt,leak
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0142.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0142.txt,Students watched as he got out
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0080.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0080.txt,The little schoolhouse stood empty
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0090.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0090.txt,oscar
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0034.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0034.txt,pay
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0096.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0096.txt,seed
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0029.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0029.txt,"Everything went real smooth, the sheriff said"
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0037.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0037.txt,Both figures would go higher in later years
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0014.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0014.txt,peer
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0008.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0008.txt,You'd be better off taking a cold shower
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0018.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0018.txt,play
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0025.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0025.txt,briar
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0040.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0040.txt,three
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0069.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0069.txt,echo
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0019.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0019.txt,floor
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0074.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0074.txt,rich
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0053.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0053.txt,four
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0103.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0103.txt,city
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0060.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0060.txt,cart
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0121.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0121.txt,thorn
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0027.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0027.txt,delta
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0105.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0105.txt,witty
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0002.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0002.txt,know
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0056.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0056.txt,here
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0042.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0042.txt,slip
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0157.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0157.txt,pretty
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0108.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0108.txt,kitten
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0116.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0116.txt,lair
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0154.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0154.txt,witch
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0159.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0159.txt,Swing your arm as high as you can
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0062.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0062.txt,seven
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0135.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0135.txt,barn
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0155.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0155.txt,juliet
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0131.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0131.txt,The dolphins swam around our boat
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0033.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0033.txt,Two other cases were also under advisement
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0126.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0126.txt,nine
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0017.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0017.txt,Will Robin wear a yellow lily?
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0051.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0051.txt,snoop
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0047.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0047.txt,sprinkle
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0098.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0098.txt,The museum hires musicians every evening
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0091.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0091.txt,much
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0006.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0006.txt,"If you destroy confidence in banks, you do something to the economy, he said"
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0147.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0147.txt,The misguided souls have lost their way
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0073.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0073.txt,sergeant
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0083.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0083.txt,and
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0119.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0119.txt,sigh
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0079.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0079.txt,thought
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0143.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0143.txt,The books are very expensive
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0153.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0153.txt,It was a good win for us
archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/wav_headMic/0036.wav,archive/Dysarthria and Non Dysarthria/Torgo/F/F03/Session2/prompts/0036.txt,thigh
